Portfolio Manager ID,Property Name,Address,Postal Code,Primary Property Type - EPA Calculated,Property Floor Area (Buildings and Parking) (ft²),Year Built,Number of Buildings,Philadelphia Building ID,Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kBtu),Natural Gas Use (kBtu),Fuel Oil #2 Use (kBtu),District Steam Use (kBtu),ENERGY STAR Score,Site EUI (kBtu/ft²),Source EUI (kBtu/ft²),Water Use (All Water Sources) (kgal),Total GHG Emissions (MtCO2e),Notes
3958448,MERB,3500 N Broad Street,19140,College/University,485000,2000,1,777532000,82118378.2,138909.5,Not Available,55292297.6,Not Available,283.6,669.1,23308.3,15302.1,
3965451,BELL BUILDING & GARAGE (Bldg 253000 Garage 84469),1121 W. MONTGOMERY AVENUE,19122,College/University,421938,1990,1,777634500,58383892.1,Not Available,Not Available,20319491.8,Not Available,298.2,680.7,29495.4,10349.2,
3965856,BEURY,1901 N. 13TH,19122,College/University,174700,2000,1,777570400,11900953.6,22828.5,Not Available,18912958.8,Not Available,311,478.8,2918,4421.2,
3958443,MEDICAL RESEARCH BLDG,3400 N. Broad Street,19140,College/University,117180,2000,1,777531000,12785217.8,4429,Not Available,27559247.2,Not Available,344.3,625.6,7589.6,4059.3,
3955734,FSU,3340 N BROAD ST,19140,College/University,139460,2000,1,777528325,14860921.6,0,Not Available,33787072,Not Available,348.8,626.1,506.8,4873.4,
3637532,University Crossings,3175 John F. Kennedy Boulevard,19104,College/University,51778,1926,1,881115750,21535162.1,Not Available,Not Available,Not Available,Not Available,415.9,1306,32.5,2727.2,
3956649,PNAH,3307 N. Broad St.,19140,College/University,169976,2000,1,777528500,18688701.1,18231,Not Available,73990255.9,Not Available,545.4,869,13176.9,8918.7,
3969866,BIOLOGY,1900 N. 12TH,19122,College/University,168651,2000,1,777570400,19553424.8,14953.7,Not Available,43655027,Not Available,561.1,861.8,23591,7997.8,
3788696,PA Convention Center Annex,111 N. Broad Street,19107,Convention Center,900000,2011,1,781020810,33528362.6,23859621.3,Not Available,Not Available,Not Available,63.8,144.8,8101.8,5512.2,
3789312,Exhibit Hall &amp; Train Shed Bldg,1101 Arch Street,19107,Convention Center,1100000,1993,1,781005800,77849113.2,55347931.3,Not Available,Not Available,Not Available,121.1,275.1,18723,12796,
3682893,Philadelphia Traffic Court,800 Spring Garden St,19123,Courthouse,80000,1946,0,883523020,3725610.6,Not Available,Not Available,Not Available,Not Available,46.6,146.2,2273.9,471.8,
3618415,"City Hall, MSB and CJC",Market Street and Broad Street,19102,Courthouse,2293000,1868,3,782273400,110424466.7,64888386.8,Not Available,7705468.6,Not Available,79.8,185,26505.7,18109.9,
3335315,Family Courts,1801 Vine Street,19103,Courthouse,250000,1939,1,782598000,9334986.3,5847263.8,Not Available,12440594.4,65,110.5,201.7,6015.8,2593.9,
3875829,Grata Data Center,1000 W Tabor Rd,19141,Data Center,41740,1962,1,776012000,9821155.4,247888.2,Not Available,Not Available,Not Available,241.2,745.1,859.7,1256.9,
3642359,American Box & Recycling Co.,3900 North 10th Street,19140,Distribution Center,211489,1913,2,884822730,856499.7,554422.2,Not Available,Not Available,Not Available,6.7,15.5,176.7,137.9,
3830422,"Barsky-Fleming Marketing, Inc.",2070-80  Wheatsheaf Lane,19124,Distribution Center,104000,1920,2,884202100,360977,447488.4,Not Available,Not Available,Not Available,7.8,15.4,65.8,69.4,
3963040,BASIC INVESTMENT INC,3700 KENSINGTON AV,19124,Distribution Center,85064,1920,1,884110700,282914.9,420319.4,Not Available,Not Available,Not Available,8.3,15.6,176.7,58.1,
3664350,Diamond Furniture,3412 J Street,19134,Distribution Center,160000,1925,2,884110550,2073036.3,867525.9,Not Available,Not Available,Not Available,18.4,46.4,502.4,308.5,
3955149,3901 G street,3901 G street,19124,Distribution Center,108000,1950,1,884114000,180153.6,1989451,Not Available,Not Available,Not Available,20.1,24.6,6,128.4,
3687630,Raymour and Flanigan Woodhaven CSC,2001 Woodhaven Road,19116,Distribution Center,98679,1965,1,884243500,1094688,Not Available,1690707,Not Available,Not Available,28.2,52.1,612.8,264.1,
3810596,Peirce-Phelps Inc.,2000 N. 59th Street,19131,Distribution Center,210039,1952,2,884115500,3437808.4,2590712.4,Not Available,Not Available,Not Available,28.7,64.3,242,572.9,
3954287,Bachmann Industries,1400 East Erie Avenue,19124,Distribution Center,115105,1950,2,884110150,1253439.1,3783861.9,Not Available,Not Available,Not Available,43.8,68.7,302.2,359.5,
3994266,14300 Townsend Rd,14300 Townsend Road,19154,Distribution Center,152388,1996,2,884292604,3854631.9,3173399.9,Not Available,Not Available,Not Available,46.1,101.3,611.4,656.5,
3880216,Packaging and Distribution Center,3031 Red Lion Road,19114,Distribution Center,104797,1970,2,884289001,6090420,110860.5,Not Available,Not Available,Not Available,59.2,183.6,557.3,777.2,
3795645,"Global Auto Processing Services, Inc.",4 East Oregon Ave,19148,Distribution Center,72000,1985,2,781326600,7406029.2,6177064.3,Not Available,Not Available,Not Available,188.7,413.1,2609.2,1319.5,
3891054,Freedom International,6601 New State Rd,19135,Distribution Center,54683,1965,1,884179500,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,
4092042,"American Metal &amp; Rubber, Inc.",2527-37 N Broad St,19132,Distribution Center,50000,1900,1,884766800,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,
4104348,500 Erie Ave,500-50 E Erie Ave,19134,Distribution Center,130000,1930,1,884048000,821365,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,104,
3635787,Warehouse America,2235 E. Castor Ave.,19134,Distribution Center,178250,1961,1,884193000,496243.7,Not Available,Not Available,Not Available,100,2.8,8.7,139.6,62.8,
3811532,Julius Silvert Inc,223-43 E Luzerne Street,19124,Distribution Center,88071,1950,1,884052000,12799.1,575923,Not Available,Not Available,100,6.7,7.3,180.1,32.2,
3956329,ECI Building,4343 Whitaker Ave.,19124,Distribution Center,93000,1950,1,884184500,Not Available,737727.1,Not Available,Not Available,100,7.9,8.3,93.8,39.2,
3814517,Leatex Chemical Co.,2722 N. Hancock St.,19133,Distribution Center,53050,1884,1,884340820,72378.1,84282.3,Not Available,Not Available,99,3,6,23.7,13.7,
3959830,L&M Warehouse,2000 Bennett Rd,19116,Distribution Center,85000,1952,1,884233500,977947.4,Not Available,Not Available,Not Available,95,11.5,36.1,Not Available,123.8,
3951080,jal associates inc,2216 e allegheny ave,19134,Distribution Center,102000,1920,1,884094300,246592.1,1565644.1,Not Available,Not Available,95,17.8,23.7,446.6,114.3,
4136009,ABW Supply,5601 Paschall Avw,19143,Distribution Center,115000,1910,1,884890600,861364.2,594197.6,Not Available,Not Available,94,12.7,28.9,191.6,146.9,
3883823,"Ocean Desert Sales, Inc.",5400 Tulip Street,19106,Distribution Center,377829,1928,1,884177600,2501450.1,0,Not Available,Not Available,93,6.6,20.8,391.5,316.8,
3963980,SHARE Community Food Resource Center,2901 W Hunting Park Ave,19129,Distribution Center,133550,1929,1,884129000,1524644.7,317382.9,Not Available,Not Available,92,13.8,38.3,654.7,209.9,
3662315,AMMC,1801 North American Street,19122,Distribution Center,89500,1989,1,884080300,686783.7,1011236.6,Not Available,Not Available,91,19,36,56.9,140.7,
3813146,MARJAM SUPPLY,6951 NEW STATE ROAD,19135,Distribution Center,106400,1945,1,884182000,672188.9,491662.6,Not Available,Not Available,88,10.9,24.7,136.8,111.2,
3594039,2045 Wheatsheef Lain,2045 Wheatsheef Lain,19134,Distribution Center,187238,1960,1,884203500,2235542.4,766549.9,Not Available,Not Available,88,16,41.8,317.6,323.8,
3637826,Almo Corporation,2709 Commerce Way,19154,Distribution Center,159200,2001,1,884292580,2425025.4,2586135.2,Not Available,Not Available,88,31.5,64.9,628.1,444.4,
4067659,Main Warehouse,12300 McNulty Road,19154,Distribution Center,56947,1985,1,884292540,390605.8,1169041.5,Not Available,Not Available,86,27.4,43.1,62.1,111.5,
3597850,CDC,5501 Whitaker Ave,19124,Distribution Center,1197220,1964,1,884120510,21755120.1,32425247.5,Not Available,Not Available,80,45.3,85.5,3974.3,4475.9,
3597393,6900 Lindbergh Blvd.,6900 Lindbergh Blvd.,19142,Distribution Center,224684,1975,1,884161700,2563839.2,5279793.8,Not Available,Not Available,77,34.9,60.5,430.7,604.9,
4056969,Advanced Sports,10940 Dutton Rd,19154,Distribution Center,70000,1965,1,884280500,914968.4,1367505.5,Not Available,Not Available,75,32.6,61.6,111.7,188.5,
3633532,United Refrigeration Inc. Warehouse 90,11451 Roosevelt Blvd.,19154,Distribution Center,163386,1959,1,884268000,3176885.6,3844813.6,Not Available,Not Available,75,43,85.8,458.3,606.4,
3854031,"Brenntag Specialties, Inc.",5700 Tacony Street,19135,Distribution Center,100000,1950,1,884213400,772166.3,1315220.4,Not Available,Not Available,74,20.9,38.1,118.9,167.6,
3690153,Flynn & OHara Uniforms,10905 Dutton Rd,19154,Distribution Center,58000,1970,1,884282000,1102128.2,1323980,Not Available,Not Available,74,41.8,83.6,182.3,209.9,
3853073,Salvation Army,4555 Pechin Street,19128,Distribution Center,162397,1940,1,775713501,2215451.9,1963769.1,4203659.2,Not Available,71,51.6,81.7,2913.2,696.8,
3682799,Building 990,2001 Kitty Hawk Avenue,19112,Distribution Center,70118,1969,1,788007016,2139733.4,2370820.3,Not Available,Not Available,65,64.3,131.3,197.8,396.8,
3687914,"Arbill Industries, Inc.",10450 Drummond Road,19154,Distribution Center,98719,1968,1,884284000,1959965.4,3047164.8,Not Available,Not Available,62,51.4,96,230.6,409.9,
4068971,Frankford Candy,9300 Ashton Rd,19114,Distribution Center,507587,2004,1,884227005,14872706.7,6282324.9,Not Available,Not Available,60,41.7,105,787.4,2216.8,
3696571,Deb,9401 Blue Grass Road,19114,Distribution Center,258760,1965,1,884226000,8696802.4,5394247.1,Not Available,Not Available,56,54.5,127.4,766.4,1387.6,
3790440,T02182 - 4020 S. 26th Street,4020 S. 26th Street,19145,Distribution Center,52315,2011,0,788003015,2829864.3,10005.9,Not Available,Not Available,54,54.3,170.1,163.1,358.9,"Single tenant flex building used for office, media creation, retail sales, and customer support associated with motorcycle apparel, parts, and accessories.  Occupant controls energy consumption."
3876347,UPS Oregon Ave,15 E Oregon Ave,19148,Distribution Center,409119,1967,0,884136200,13456996.2,19975458.1,Not Available,Not Available,53,81.7,154.5,2355.9,2764.3,
3569995,Westinghouse Lighting,12401 McNulty Rd.,19154,Distribution Center,229755,1988,0,884292544,5857704.5,3076801,Not Available,Not Available,43,38.9,94.1,2832.4,905.1,
3736468,Novick Brothers Corp.,3660 S Lawrence St.,19148,Distribution Center,63229,1962,0,884154000,3421430.8,194885.8,Not Available,Not Available,42,57.2,173.1,112.7,443.6,
3760894,Destination Maternity Corporation,456 N 5th. Street,19123,Distribution Center,318000,1975,1,884028600,18562419.6,1625518.1,Not Available,Not Available,38,63.5,188.7,1652.1,2437,
4083183,Select Nutrition Distributors,2722 Commerce Way,19154,Distribution Center,110000,2000,1,884292596,5350889.5,1473937.1,Not Available,Not Available,35,62,166.8,441.2,755.8,
3856201,7746 Dungan,7746 Dungan Rd,19111,Distribution Center,68827,1964,1,884221900,2233154,1911194.8,Not Available,Not Available,24,60.2,131,303.4,384.2,
3970728,COFCO - 2200,2200 NORTH AMERICAN STREET,19133,Distribution Center,55720,1986,1,884080340,1023629.7,1214863.9,Not Available,Not Available,23,40.2,80.6,81.6,194.1,
4113001,2030 E.BYBERRY ROAD LLC,2030 BYBERRY RD,19116,Distribution Center,74225,1980,1,884235000,1229678.3,1868632.7,Not Available,Not Available,16,41.7,78.5,256.6,254.9,
3857641,US Treasury Building,13000 Townsend Rd,19154,Distribution Center,123510,1994,1,884292513,10484489.1,2068162.5,Not Available,Not Available,14,101.6,284.1,469.7,1437.5,
3633517,United Refrigeration Inc. Headquarters,11401 Roosevelt Blvd.,19154,Distribution Center,121508,1960,0,884267500,9086667.8,2403464.1,Not Available,Not Available,10,94.6,255.6,1046,1278.3,
3879065,Holts Cigar Company,12270 Townsend Rd,19154,Distribution Center,50847,1970,1,884292000,5123158.9,443875.8,Not Available,Not Available,1,109.5,325.5,214.1,672.4,
3698449,Baxter Water Treatment Plant,9001 State Road,19136,Drinking Water Treatment & Distribution,232000,1959,5,786071000,12909288.4,21022642.7,Not Available,Not Available,Not Available,146.3,269.9,683221.9,2750.5,
3779718,Queen Lane Water Treatment Plant,3110 W Queen Lane,19129,Drinking Water Treatment & Distribution,110000,1953,3,884461930,19651489.1,4549340.1,Not Available,Not Available,Not Available,220,604.4,45020.8,2730,
3697785,Belmont Water Treatment Plant,4300 Ford Road,19131,Drinking Water Treatment & Distribution,95000,1965,2,783042600,6397165.6,21022630.3,Not Available,Not Available,Not Available,288.6,443.8,1155.7,1925.8,
